"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_104"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Salinibacterium"	NA
"ASV_105"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__neonatale"
"ASV_106"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bartonellaceae"	NA	NA
"ASV_107"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	NA	NA
"ASV_108"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__perfringens"
"ASV_109"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__gasigenes"
"ASV_110"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Tsukamurellaceae"	"g__Tsukamurella"	NA
"ASV_111"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__coli"
"ASV_112"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	NA	NA
"ASV_113"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	NA
"ASV_114"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Ruminococcaceae"	NA	NA
"ASV_115"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_116"	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium"	NA
"ASV_117"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__butyricum"
"ASV_118"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Clostridium"	"s__citroniae"
"ASV_119"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Streptophyta"	NA	NA	NA
"ASV_120"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Streptophyta"	NA	NA	NA
"ASV_121"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Clostridium"	"s__citroniae"
"ASV_122"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Streptophyta"	NA	NA	NA
"ASV_123"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Proteus"	NA
"ASV_124"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__SMB53"	NA
"ASV_125"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus"	NA
"ASV_126"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	NA
"ASV_127"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__coli"
"ASV_128"	"k__Bacteria"	"p__Tenericutes"	"c__Mollicutes"	"o__Entomoplasmatales"	"f__Entomoplasmataceae"	"g__Entomoplasma"	NA
"ASV_129"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__agilis"
"ASV_130"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	"s__celatum"
"ASV_131"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Veillonellaceae"	"g__Veillonella"	NA
"ASV_132"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__caccae"
"ASV_133"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Ruminococcaceae"	"g__Faecalibacterium"	NA
"ASV_134"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Lactococcus"	"s__garvieae"
"ASV_135"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	NA	NA
"ASV_136"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__Bilophila"	NA
"ASV_137"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	"g__Clostridium"	"s__ruminantium"
"ASV_138"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	NA
"ASV_139"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__zeae"
"ASV_140"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	NA
"ASV_141"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Streptophyta"	NA	NA	NA
"ASV_142"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	NA	NA
